Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,Nouns_Spacy,Pronoun_Spacy,,
92072,00:01:32.72,m,no.,0,,,,,0,,,,,,,,0,0,,
93432,00:01:33.432,m,do you know where Deeda put them?,1,deeda,,,,2,you,them,,,,,,0,2,,
97784,00:01:37.784,m,oh.,0,,,,,0,,,,,,,,0,0,,
98090,00:01:38.90,m,I see this one.,1,one,,,,2,i,this,,,,,,1,1,,
103156,00:01:43.156,m,I'm looking I'm looking.,0,,,,,2,i,i,,,,,,0,2,,
104686,00:01:44.686,m,I may have to go check your room okay?,1,room,,,,2,i,your,,,,,,1,2,,
139434,00:02:19.434,m,I don't you know what I don't know I'm so confused as to where they are.,0,,,,,5,i,you,i,i,they,,,0,6,,
145656,00:02:25.656,m,did you do them today with Deeda?,2,today,deeda,,,2,you,them,,,,,,1,2,,
147594,00:02:27.594,m,you did them today?,1,today,,,,2,you,them,,,,,,1,2,,
149294,00:02:29.294,m,today you did drawing?,1,today,,,,1,you,,,,,,,1,1,,
151266,00:02:31.266,m,xxx?,0,,,,,0,,,,,,,,0,0,,
151912,00:02:31.912,m,where?,0,,,,,0,,,,,,,,0,0,,
153748,00:02:33.748,m,are they up here?,0,,,,,1,they,,,,,,,0,1,,
155380,00:02:35.380,m,no let's not watch yet let's watch in a little bit okay?,0,,,,,0,,,,,,,,1,2,,
157998,00:02:37.998,m,okay I see a marker top this is a clue.,2,markertop,clue,,,2,i,this,,,,,,3,2,,
161398,00:02:41.398,m,this is a clue.,1,clue,,,,1,this,,,,,,,1,1,,
162894,00:02:42.894,m,where is the rest of the markers though?,1,markers,,,,0,,,,,,,,2,0,,
166736,00:02:46.736,m,let me think.,0,,,,,1,me,,,,,,,0,1,,
168980,00:02:48.980,m,here are some crayons did she hide them?,1,crayons,,,,2,she,them,,,,,,1,2,,
171734,00:02:51.734,m,you want to do those crayons lets start with the crayons and then if we can't find the markers.,3,crayons,crayons,markers,,3,you,those,we,,,,,4,2,,
174930,00:02:54.930,m,we can just do that.,0,,,,,2,we,that,,,,,,0,2,,
177310,00:02:57.310,m,what are you doing?,0,,,,,1,you,,,,,,,0,2,,
178296,00:02:58.296,m,come on.,0,,,,,0,,,,,,,,0,0,,
178636,00:02:58.636,m,let's go.,0,,,,,0,,,,,,,,0,1,,
180370,00:03:00.370,m,let's go.,0,,,,,0,,,,,,,,0,1,,
181118,00:03:01.118,m,what are you doing with those?,0,,,,,2,you,those,,,,,,0,3,,
182852,00:03:02.852,m,[laugh].,0,,,,,0,,,,,,,,1,0,,
185980,00:03:05.980,m,can you draw with your feet?,1,feet,,,,2,you,your,,,,,,1,2,,
187374,00:03:07.374,m,watch.,0,,,,,0,,,,,,,,0,0,,
188598,00:03:08.598,m,watch me.,0,,,,,1,me,,,,,,,0,1,,
190740,00:03:10.740,m,yeah I have to take my socks off.,1,socks,,,,2,i,my,,,,,,1,2,,
193154,00:03:13.154,m,watch this.,0,,,,,1,this,,,,,,,0,1,,
195228,00:03:15.228,m,okay.,0,,,,,0,,,,,,,,0,0,,
215764,00:03:35.764,m,ah.,0,,,,,0,,,,,,,,0,0,,
216036,00:03:36.36,m,look I'm drawing my foot.,1,foot,,,,2,i,my,,,,,,1,2,,
220898,00:03:40.898,m,can you do that?,0,,,,,2,you,that,,,,,,0,2,,
222258,00:03:42.258,m,okay try.,0,,,,,0,,,,,,,,1,0,,
224876,00:03:44.876,m,take the socks off.,1,socks,,,,0,,,,,,,,1,0,,
226712,00:03:46.712,m,look.,0,,,,,0,,,,,,,,0,0,,
227018,00:03:47.18,m,you try now.,0,,,,,1,you,,,,,,,0,1,,
358530,00:05:58.530,m,you know what honey I don't know where the markers went.,2,honey,markers,,,2,you,i,,,,,,2,3,,
361522,00:06:01.522,m,I don't know where they are xxx we can text Deeda and ask her.,1,deeda,,,,4,i,they,we,her,,,,0,4,,
364616,00:06:04.616,m,do you want me to text her?,0,,,,,3,you,me,her,,,,,0,3,,
365636,00:06:05.636,m,and see if she knows?,0,,,,,1,she,,,,,,,0,1,,
367574,00:06:07.574,m,we can ask her.,0,,,,,2,we,her,,,,,,0,2,,
369274,00:06:09.274,m,well let's play with the crayons for now.,1,crayons,,,,0,,,,,,,,1,1,,
370566,00:06:10.566,m,cause we have all these crayons.,1,crayons,,,,1,we,,,,,,,1,1,,
373932,00:06:13.932,m,I think they're hiding somewhere.,0,,,,,2,i,they,,,,,,0,2,,
375428,00:06:15.428,m,can you guys play hide and seek with the markers?,3,guys,hideandseek,markers,,1,you,,,,,,,3,1,,
379066,00:06:19.66,m,why don't we draw something else with our crayons?,1,crayons,,,,2,we,our,,,,,,1,3,,
429862,00:07:09.862,m,Tata?,1,tata,,,,0,,,,,,,,0,0,,
434554,00:07:14.554,m,Santa?,1,santa,,,,0,,,,,,,,0,0,,
529278,00:08:49.278,m,it needs green.,1,green,,,,1,it,,,,,,,0,1,,
530162,00:08:50.162,m,you want green too?,1,green,,,,1,you,,,,,,,0,1,,
532950,00:08:52.950,m,hmm.,0,,,,,0,,,,,,,,0,0,,
672656,00:11:12.656,m,remember the a@b@c@'s the other day?,1,day,,,,0,,,,,,,,2,0,,
676464,00:11:16.464,m,you want to say them?,0,,,,,2,you,them,,,,,,0,2,,
677858,00:11:17.858,m,go ahead.,0,,,,,0,,,,,,,,0,0,,
680170,00:11:20.170,m,[laugh].,0,,,,,0,,,,,,,,1,0,,
681802,00:11:21.802,m,no?,0,,,,,0,,,,,,,,0,0,,
683604,00:11:23.604,m,you want to say your a@b@c@'s?,0,,,,,2,you,your,,,,,,1,2,,
685066,00:11:25.66,m,yeah.,0,,,,,0,,,,,,,,0,0,,
685576,00:11:25.576,m,okay.,0,,,,,0,,,,,,,,0,0,,
689214,00:11:29.214,m,hmm?,0,,,,,0,,,,,,,,0,0,,
690710,00:11:30.710,m,yeah.,0,,,,,0,,,,,,,,0,0,,
692274,00:11:32.274,m,they're just here to hang out for a little bit.,0,,,,,1,they,,,,,,,1,1,,
695470,00:11:35.470,m,[laugh].,0,,,,,0,,,,,,,,1,0,,
697578,00:11:37.578,m,they're just watching yeah they're just watching.,0,,,,,2,they,they,,,,,,0,2,,
700094,00:11:40.94,m,they're just watching.,0,,,,,1,they,,,,,,,0,1,,
703290,00:11:43.290,m,you can say hi if you want.,0,,,,,2,you,you,,,,,,0,2,,
706316,00:11:46.316,m,we can keep drawing.,0,,,,,1,we,,,,,,,0,1,,
708424,00:11:48.424,m,do you want to use any of your stickers?,1,stickers,,,,2,you,your,,,,,,1,3,,
711246,00:11:51.246,m,no?,0,,,,,0,,,,,,,,0,0,,
711994,00:11:51.994,m,can I use one?,1,one,,,,1,i,,,,,,,0,1,,
713456,00:11:53.456,m,no?,0,,,,,0,,,,,,,,0,0,,
715156,00:11:55.156,m,there's so many though.,0,,,,,0,,,,,,,,0,1,,
716550,00:11:56.550,m,look at all those animals.,1,animals,,,,1,those,,,,,,,1,0,,
719100,00:11:59.100,m,wow.,0,,,,,0,,,,,,,,0,0,,
720596,00:12:00.596,m,let's see if there's a turtle in here just like the one that we just drew.,2,turtle,one,,,1,we,,,,,,,2,4,,
724098,00:12:04.98,m,let's see is there a turtle in here?,1,turtle,,,,0,,,,,,,,1,2,,
726376,00:12:06.376,m,let's see.,0,,,,,0,,,,,,,,0,1,,
727906,00:12:07.906,m,hmm?,0,,,,,0,,,,,,,,0,0,,
728824,00:12:08.824,m,a hippo?,1,hippo,,,,0,,,,,,,,1,0,,
729946,00:12:09.946,m,let's look for one.,1,one,,,,0,,,,,,,,0,1,,
732088,00:12:12.88,m,hmm any hippos here?,1,hippos,,,,0,,,,,,,,1,0,,
735046,00:12:15.46,m,no I don't see any.,0,,,,,1,i,,,,,,,0,2,,
743138,00:12:23.138,m,where?,0,,,,,0,,,,,,,,0,0,,
746198,00:12:26.198,m,yeah that is a hippo.,1,hippo,,,,1,that,,,,,,,1,1,,
748510,00:12:28.510,m,good job.,0,,,,,0,,,,,,,,1,0,,
750312,00:12:30.312,m,what else do you see?,0,,,,,1,you,,,,,,,0,2,,
753474,00:12:33.474,m,hippo.,1,hippo,,,,0,,,,,,,,0,0,,
755072,00:12:35.72,m,a what?,0,,,,,0,,,,,,,,0,1,,
756364,00:12:36.364,m,a cow.,1,cow,,,,0,,,,,,,,1,0,,
757520,00:12:37.520,m,yeah.,0,,,,,0,,,,,,,,0,0,,
758676,00:12:38.676,m,what's that?,0,,,,,1,that,,,,,,,0,2,,
760784,00:12:40.784,m,a what?,0,,,,,0,,,,,,,,0,1,,
763708,00:12:43.708,m,a what?,0,,,,,0,,,,,,,,0,1,,
765850,00:12:45.850,m,what's that.,0,,,,,1,that,,,,,,,0,2,,
766462,00:12:46.462,m,a miss?,0,,,,,0,,,,,,,,1,0,,
767448,00:12:47.448,m,a miss that's a snail.,1,snail,,,,0,,,,,,,,2,1,,
769386,00:12:49.386,m,a snail.,1,snail,,,,0,,,,,,,,1,0,,
772072,00:12:52.72,m,what is this do you know?,0,,,,,2,this,you,,,,,,0,3,,
776220,00:12:56.220,m,uh close it's a giraffe.,1,giraffe,,,,1,it,,,,,,,1,1,,
778464,00:12:58.464,m,zebra.,1,zebra,,,,0,,,,,,,,1,0,,
781898,00:13:01.898,m,what's that?,0,,,,,1,that,,,,,,,0,2,,
783496,00:13:03.496,m,[adultbabble].,0,,,,,0,,,,,,,,0,0,,
784958,00:13:04.958,m,what's that?,0,,,,,1,that,,,,,,,0,2,,
786556,00:13:06.556,m,a zebra?,1,zebra,,,,0,,,,,,,,1,0,,
787610,00:13:07.610,m,oh here.,0,,,,,0,,,,,,,,0,0,,
788732,00:13:08.732,m,look at that.,0,,,,,1,that,,,,,,,0,1,,
789650,00:13:09.650,m,is this a zebra?,1,zebra,,,,1,this,,,,,,,1,1,,
791384,00:13:11.384,m,yeah.,0,,,,,0,,,,,,,,0,0,,
793390,00:13:13.390,m,what else is there?,0,,,,,0,,,,,,,,0,1,,
796144,00:13:16.144,m,oh Derin what's this?,1,derin,,,,1,this,,,,,,,0,2,,
798422,00:13:18.422,m,I know you know what we'll have to get another one we can't.,1,one,,,,4,i,you,we,we,,,,1,5,,
800360,00:13:20.360,m,this is just a picture.,1,picture,,,,1,this,,,,,,,1,1,,
801312,00:13:21.312,m,we can't get it out.,0,,,,,2,we,it,,,,,,0,2,,
805222,00:13:25.222,m,which one?,1,one,,,,0,,,,,,,,0,0,,
807126,00:13:27.126,m,astronaut?,1,astronaut,,,,0,,,,,,,,0,0,,
808248,00:13:28.248,m,you want that one?,1,one,,,,2,you,that,,,,,,0,1,,
814946,00:13:34.946,m,let's see we also looked at.,0,,,,,1,we,,,,,,,0,2,,
817802,00:13:37.802,m,there is one there is a Christmas one.,1,christmasone,,,,0,,,,,,,,0,2,,
820862,00:13:40.862,m,this Christmas one with Santa Claus?,2,christmasone,santaclaus,,,1,this,,,,,,,0,0,,
823106,00:13:43.106,m,that was a cool one.,1,one,,,,1,that,,,,,,,1,1,,
824942,00:13:44.942,m,and then look.,0,,,,,0,,,,,,,,0,0,,
826472,00:13:46.472,m,dinsoaurs.,1,dinosaurs,,,,0,,,,,,,,1,0,,
829566,00:13:49.566,m,I'm not.,0,,,,,1,i,,,,,,,0,1,,
830892,00:13:50.892,m,and this one that's um sea creatures.,2,one,seacreatures,,,2,this,that,,,,,,3,1,,
834428,00:13:54.428,m,Bubba shark?,1,bubbashark,,,,0,,,,,,,,2,0,,
835652,00:13:55.652,m,can I get you a tissue too?,1,tissue,,,,2,i,you,,,,,,1,2,,
848640,00:14:08.640,m,where are you going?,0,,,,,1,you,,,,,,,0,1,,
850340,00:14:10.340,m,no tissue no.,1,tissue,,,,0,,,,,,,,1,0,,
852448,00:14:12.448,m,I got you.,0,,,,,2,i,you,,,,,,0,2,,
853332,00:14:13.332,m,I got you.,0,,,,,2,i,you,,,,,,0,2,,
854420,00:14:14.420,m,I see a lot of boogies up  there.,1,boogies,,,,1,i,,,,,,,2,1,,
856562,00:14:16.562,m,okay.,0,,,,,0,,,,,,,,0,0,,
856834,00:14:16.834,m,you're all done?,0,,,,,1,you,,,,,,,0,2,,
857276,00:14:17.276,m,let me see.,0,,,,,1,me,,,,,,,0,1,,
858400,00:14:18.400,m,alright.,0,,,,,0,,,,,,,,0,0,,
860336,00:14:20.336,m,let me see what else there is.,0,,,,,1,me,,,,,,,0,3,,
861730,00:14:21.730,m,put this here for later.,0,,,,,1,this,,,,,,,0,1,,
863838,00:14:23.838,m,um.,0,,,,,0,,,,,,,,0,0,,
864824,00:14:24.824,m,these are so small I can't really see them.,0,,,,,3,these,i,them,,,,,0,3,,
866728,00:14:26.728,m,what else is there?,0,,,,,0,,,,,,,,0,1,,
869346,00:14:29.346,m,what about.,0,,,,,0,,,,,,,,0,1,,
871114,00:14:31.114,m,are you relaxing?,0,,,,,1,you,,,,,,,0,1,,
873086,00:14:33.86,m,take a rest?,0,,,,,0,,,,,,,,1,0,,
873936,00:14:33.936,m,[laugh].,0,,,,,0,,,,,,,,1,0,,
875500,00:14:35.500,m,silly.,0,,,,,0,,,,,,,,0,0,,
876758,00:14:36.758,m,silly xxx.,0,,,,,0,,,,,,,,0,0,,
877812,00:14:37.812,m,you need to poop?,0,,,,,1,you,,,,,,,0,1,,
879274,00:14:39.274,m,you did?,0,,,,,1,you,,,,,,,0,1,,
880362,00:14:40.362,m,do you need me to change you?,0,,,,,3,you,me,you,,,,,0,3,,
881926,00:14:41.926,m,hmm?,0,,,,,0,,,,,,,,0,0,,
883218,00:14:43.218,m,you want to go potty?,1,potty,,,,1,you,,,,,,,0,1,,
884884,00:14:44.884,m,do you want to go potty?,1,potty,,,,1,you,,,,,,,0,1,,
886312,00:14:46.312,m,yeah you made a poop on the couch.,2,poop,couch,,,1,you,,,,,,,2,1,,
887944,00:14:47.944,m,do you want to go on the potty?,1,potty,,,,1,you,,,,,,,1,1,,
890324,00:14:50.324,m,no?,0,,,,,0,,,,,,,,0,0,,
890868,00:14:50.868,m,do you have to make a poop?,1,poop,,,,1,you,,,,,,,1,1,,
893656,00:14:53.656,m,no?,0,,,,,0,,,,,,,,0,0,,
895492,00:14:55.492,m,do you want to bring your potty over here?,1,potty,,,,2,you,your,,,,,,1,2,,
899640,00:14:59.640,m,what is that?,0,,,,,1,that,,,,,,,0,2,,
900592,00:15:00.592,m,what?,0,,,,,0,,,,,,,,0,1,,
904400,00:15:04.400,m,you see cars?,1,cars,,,,1,you,,,,,,,1,1,,
905862,00:15:05.862,m,I see cars too.,1,cars,,,,1,i,,,,,,,1,1,,
909160,00:15:09.160,m,more cars?,1,cars,,,,0,,,,,,,,1,0,,
911914,00:15:11.914,m,what else do you see?,0,,,,,1,you,,,,,,,0,2,,
915756,00:15:15.756,m,careful.,0,,,,,0,,,,,,,,0,0,,
917252,00:15:17.252,m,be careful there.,0,,,,,0,,,,,,,,0,0,,
918714,00:15:18.714,m,whoah.,0,,,,,0,,,,,,,,0,0,,
919530,00:15:19.530,m,whoah.,0,,,,,0,,,,,,,,0,0,,
920516,00:15:20.516,m,careful.,0,,,,,0,,,,,,,,0,0,,
921332,00:15:21.332,m,yey.,0,,,,,0,,,,,,,,0,0,,
922284,00:15:22.284,m,oh.,0,,,,,0,,,,,,,,0,0,,
923270,00:15:23.270,m,oh.,0,,,,,0,,,,,,,,0,0,,
924154,00:15:24.154,m,[laugh].,0,,,,,0,,,,,,,,1,0,,
925582,00:15:25.582,m,you want to play with your Legos in here?,1,legos,,,,2,you,your,,,,,,0,2,,
927622,00:15:27.622,m,so let's build something ready?,0,,,,,0,,,,,,,,0,2,,
930682,00:15:30.682,m,okay.,0,,,,,0,,,,,,,,0,0,,
966892,00:16:06.892,m,what remember what you made last time?,0,,,,,1,you,,,,,,,1,3,,
970122,00:16:10.122,m,do you remember what you made last time?,0,,,,,2,you,you,,,,,,1,3,,
972264,00:16:12.264,m,I think you made a horse remember that?,1,horse,,,,2,i,you,,,,,,1,3,,
975290,00:16:15.290,m,you made a horsie.,1,horsie,,,,1,you,,,,,,,1,1,,
976480,00:16:16.480,m,remember?,0,,,,,0,,,,,,,,0,0,,
977602,00:16:17.602,m,do you remember that?,0,,,,,2,you,that,,,,,,0,2,,
980798,00:16:20.798,m,you do?,0,,,,,1,you,,,,,,,0,1,,
981308,00:16:21.308,m,let's see.,0,,,,,0,,,,,,,,0,1,,
984708,00:16:24.708,m,is this yours?,0,,,,,2,this,yours,,,,,,1,1,,
985796,00:16:25.796,m,it is?,0,,,,,1,it,,,,,,,0,1,,
986782,00:16:26.782,m,ah.,0,,,,,0,,,,,,,,0,0,,
987530,00:16:27.530,m,what does the horse say?,1,horse,,,,0,,,,,,,,1,1,,
989502,00:16:29.502,m,neigh.,0,,,,,0,,,,,,,,0,0,,
991338,00:16:31.338,m,xxx.,0,,,,,0,,,,,,,,0,0,,
993582,00:16:33.582,m,xxx.,0,,,,,0,,,,,,,,0,0,,
995112,00:16:35.112,m,horsie.,1,horsie,,,,0,,,,,,,,0,0,,
1000688,00:16:40.688,m,another horsie?,1,horsie,,,,0,,,,,,,,1,0,,
1008610,00:16:48.610,m,see what?,0,,,,,0,,,,,,,,0,1,,
1012826,00:16:52.826,m,see what Honey?,1,honey,,,,0,,,,,,,,0,1,,
1014934,00:16:54.934,m,clop clop?,0,,,,,0,,,,,,,,1,0,,
1016022,00:16:56.22,m,the horse goes clop clop clop clop clop clop.,1,horse,,,,0,,,,,,,,5,0,,
1018946,00:16:58.946,m,[horsemovingnoise].,0,,,,,0,,,,,,,,0,0,,
1023060,00:17:03.60,m,neigh.,0,,,,,0,,,,,,,,0,0,,
1026392,00:17:06.392,m,neigh.,0,,,,,0,,,,,,,,0,0,,
1028806,00:17:08.806,m,can I make one too?,1,one,,,,1,i,,,,,,,1,1,,
1030064,00:17:10.64,m,oh.,0,,,,,0,,,,,,,,0,0,,
1031832,00:17:11.832,m,this guy's going to ride on the horse.,2,guy,horse,,,1,this,,,,,,,2,0,,
1034518,00:17:14.518,m,can he ride on the horse?,1,horse,,,,1,he,,,,,,,1,1,,
1036014,00:17:16.14,m,okay.,0,,,,,0,,,,,,,,0,0,,
1041726,00:17:21.726,m,hmm.,0,,,,,0,,,,,,,,0,0,,
1042984,00:17:22.984,m,xxx.,0,,,,,0,,,,,,,,0,0,,
1046316,00:17:26.316,m,is it hard to make it stand up you know what you might need?,0,,,,,3,it,you,you,,,,,0,5,,
1048730,00:17:28.730,m,let's put one more underneath here so it stands up are we good?,1,one,,,,2,it,we,,,,,,0,3,,
1052232,00:17:32.232,m,like this?,0,,,,,1,this,,,,,,,0,1,,
1053524,00:17:33.524,m,on top.,0,,,,,0,,,,,,,,1,0,,
1054238,00:17:34.238,m,makes it very heavy.,0,,,,,1,it,,,,,,,0,1,,
1056074,00:17:36.74,m,let's do this watch.,0,,,,,1,this,,,,,,,1,1,,
1056822,00:17:36.822,m,if we put one like this look.,1,one,,,,2,we,this,,,,,,1,1,,
1058658,00:17:38.658,m,under no okay.,0,,,,,0,,,,,,,,0,0,,
1059814,00:17:39.814,m,you show me.,0,,,,,2,you,me,,,,,,0,2,,
1064336,00:17:44.336,m,oops.,0,,,,,0,,,,,,,,1,0,,
1067022,00:17:47.22,m,do you want help?,0,,,,,1,you,,,,,,,1,1,,
1068416,00:17:48.416,m,yeah?,0,,,,,0,,,,,,,,0,0,,
1069606,00:17:49.606,m,what do you want help with?,0,,,,,1,you,,,,,,,1,2,,
1075148,00:17:55.148,m,let me see let me see.,0,,,,,2,me,me,,,,,,0,2,,
1075862,00:17:55.862,m,getting it on?,0,,,,,1,it,,,,,,,0,1,,
1076440,00:17:56.440,m,I know it's kind of hard xxx.,0,,,,,2,i,it,,,,,,0,2,,
1078990,00:17:58.990,m,here let's do this.,0,,,,,1,this,,,,,,,0,2,,
1079976,00:17:59.976,m,if you do this.,0,,,,,2,you,this,,,,,,0,2,,
1080384,00:18:00.384,m,it'll stand up here you go.,0,,,,,2,it,you,,,,,,0,2,,
1081676,00:18:01.676,m,here.,0,,,,,0,,,,,,,,0,0,,
1084838,00:18:04.838,m,good.,0,,,,,0,,,,,,,,0,0,,
1085960,00:18:05.960,m,that's a big horse.,1,horse,,,,1,that,,,,,,,1,1,,
1087014,00:18:07.14,m,hmm?,0,,,,,0,,,,,,,,0,0,,
1088986,00:18:08.986,m,clip clop?,0,,,,,0,,,,,,,,0,0,,
1093134,00:18:13.134,m,oh careful.,0,,,,,0,,,,,,,,0,0,,
1094664,00:18:14.664,m,[horsemovingnoise].,0,,,,,0,,,,,,,,0,0,,
1098098,00:18:18.98,m,inside?,0,,,,,0,,,,,,,,0,0,,
1100750,00:18:20.750,m,hmm?,0,,,,,0,,,,,,,,0,0,,
1102790,00:18:22.790,m,careful.,0,,,,,0,,,,,,,,0,0,,
1104048,00:18:24.48,m,you want to go in?,0,,,,,1,you,,,,,,,0,1,,
1108026,00:18:28.26,m,oh wait here here's one.,1,one,,,,0,,,,,,,,0,0,,
1109488,00:18:29.488,m,there's one here.,1,one,,,,0,,,,,,,,0,1,,
1111154,00:18:31.154,m,more men.,1,men,,,,0,,,,,,,,1,0,,
1112310,00:18:32.310,m,let's see.,0,,,,,0,,,,,,,,0,1,,
1113534,00:18:33.534,m,I bet you there's more men in this one let's check.,2,men,one,,,3,i,you,this,,,,,2,4,,
1118226,00:18:38.226,m,are there any men in here?,1,men,,,,0,,,,,,,,1,1,,
1119858,00:18:39.858,m,hmm yep.,0,,,,,0,,,,,,,,0,0,,
1121184,00:18:41.184,m,there are.,0,,,,,0,,,,,,,,0,1,,
1122544,00:18:42.544,m,should we take those out too?,0,,,,,2,we,those,,,,,,0,2,,
1133152,00:18:53.152,m,okay good job more men.,1,men,,,,0,,,,,,,,2,0,,
1137572,00:18:57.572,m,[laugh].,0,,,,,0,,,,,,,,1,0,,
1137708,00:18:57.708,m,bye man.,1,man,,,,0,,,,,,,,1,0,,
1139000,00:18:59.0,m,is he hiding?,0,,,,,1,he,,,,,,,0,1,,
1140530,00:19:00.530,m,see you.,0,,,,,1,you,,,,,,,0,1,,
1143556,00:19:03.556,m,is he hiding?,0,,,,,1,he,,,,,,,0,1,,
1144270,00:19:04.270,m,is he sleeping?,0,,,,,1,he,,,,,,,0,1,,
1146276,00:19:06.276,m,oh he's really hiding now look there's another man.,1,man,,,,1,he,,,,,,,1,2,,
1151580,00:19:11.580,m,xxx there he is.,0,,,,,1,he,,,,,,,0,1,,
1153654,00:19:13.654,m,what's his name?,1,name,,,,1,his,,,,,,,1,2,,
1154946,00:19:14.946,m,mmm.,0,,,,,0,,,,,,,,0,0,,
1156102,00:19:16.102,m,hi.,0,,,,,0,,,,,,,,0,0,,
1157428,00:19:17.428,m,he's hiding?,0,,,,,1,he,,,,,,,0,1,,
1158108,00:19:18.108,m,xxx?,0,,,,,0,,,,,,,,0,0,,
1162426,00:19:22.426,m,you found him good job.,0,,,,,2,you,him,,,,,,1,2,,
1165928,00:19:25.928,m,there he is.,0,,,,,1,he,,,,,,,0,1,,
1169056,00:19:29.56,m,what's happened to his head?,1,head,,,,1,his,,,,,,,1,2,,
1172048,00:19:32.48,m,it's on backwards now.,0,,,,,1,it,,,,,,,0,1,,
1175720,00:19:35.720,m,uhoh.,0,,,,,0,,,,,,,,1,0,,
1176876,00:19:36.876,m,his head is on backwards.,1,head,,,,1,his,,,,,,,1,1,,
1180548,00:19:40.548,m,oh my.,0,,,,,0,,,,,,,,0,0,,
1182452,00:19:42.452,m,hey are you drooling a little bit?,0,,,,,1,you,,,,,,,1,1,,
1184526,00:19:44.526,m,okay.,0,,,,,0,,,,,,,,0,0,,
1185988,00:19:45.988,m,okay.,0,,,,,0,,,,,,,,0,0,,
1191360,00:19:51.360,m,brr boom.,0,,,,,0,,,,,,,,1,0,,
1193128,00:19:53.128,m,oh.,0,,,,,0,,,,,,,,0,0,,
1194284,00:19:54.284,m,boom.,0,,,,,0,,,,,,,,1,0,,
1199622,00:19:59.622,m,that was a loud noise.,1,noise,,,,1,that,,,,,,,1,1,,
