"Order","ID","Utterance","Feature"
2,8,"        it's a saltine cracker.","T+L"
2,8,"        and it has holes in it.","P"
2,8,"        it has one two three four five six seven eight nine ten eleven twelve thirteen fourteen.","P"
2,8,"        fourteen.","P"
2,8,"        a pumpkin for a pumpkin.","L"
2,8,"        um, it's, it's for Halloween.","F"
2,8,"        and, it, and it has stripes on it.","P"
2,8,"        it's orange.","P"
2,8,"        mm-HM [= yes], and it has a handle.","P"
2,8,"        and, it, and the handle's blue [?].","P"
2,8,"        and, and um and that's all.","NA"
2,8,"        a ski girl.","L"
2,8,"        um she's holding a stick and she has glasses on and a necklace.","P"
2,8,"        three necklaces.","P"
2,8,"        three one two.","NA"
2,8,"        one two and three.","NA"
2,8,"        it doesn't go three one two.","NA"
2,8,"        &=laughs.","NA"
2,8,"        mm-HM [= yes], um and she has blue pants.","P"
2,8,"        and pink shirt.","P"
2,8,"        and, very very light, shirt [?].","P"
2,8,"        very very very light color shirt.","NA"
2,8,"        that's all I know.","I"
2,8,"        and she has a bow.","P"
2,8,"        um a guy on a race car at a race car is it at a race car.","L"
2,8,"        they're gonna race.","I+P"
2,8,"        &=turns:page &=turns:page_back ah.","NA"
2,8,"        um he has a dog print on his shirt.","P"
2,8,"        and another, and he has glasses.","P"
2,8,"        a hat.","P"
2,8,"        white tan and black here.","P"
2,8,"        and pink here.","P"
2,8,"        and pink right there.","NA"
2,8,"        and purple on here.","P"
2,8,"        mm-HM [= yes], and the cars have numbers on them.","P"
2,8,"        and there's everyone.","P"
2,8,"        there's a lot of.","P"
2,8,"        I'm done.","NA"
2,8,"        an ice cream cone.","L"
2,8,"        um it has pink for the ice cream and dark gold for, um, for the the I mean the cone.","P+L"
2,8,"        you can have ice cream when you're outside like I do xxx.","F+L+I"
2,8,"        &=peeks:next_page oh this one's gonna be a good one [?] next.","NA"
2,8,"        and it has squares on it.","P"
2,8,"        a butterfly.","L"
2,8,"        it has dots on here and orange ⌈on it⌉.","P"
2,8,"        a bunch of orange.","P"
2,8,"        mm-HM [= yes], and, it has little orange dots.","P"
2,8,"        &=turns:page and that's all.","NA"
3,10,"        I know what it is.","NA"
3,10,"        um let's see, okay.","NA"
3,10,"        um a, picture of someone playing baseball.","L"
3,10,"        and um, um, this guy is getting ready to hit the ball.","P"
3,10,"        or try to hit the ⌊ball⌋.","P"
3,10,"        what else?","NA"
3,10,"        HM, you need to like be a, maybe have a you don't really actually have to but some people have like a baseball hat.","I+F"
3,10,"        to wear.","F"
3,10,"        oh.","NA"
3,10,"        now ⌊bread⌋.","L"
3,10,"        and um you can slice it or you can eat it when it's whole.","F"
3,10,"        but if you want, like if somebody wants a half and another person wants a half then you can cut it in half.","F"
3,10,"        and um, um there are lots of different kinds of bread like wheat bread.","F+T"
3,10,"        let's see whole wheat bread.","T"
3,10,"        plain bread.","T"
3,10,"        white bread.","T"
3,10,"        and um, there's this bread um, on a movie um +...","L+I"
3,10,"        and it's not really I don't really I don't really know if they have this kind of bread but it's um called pumpernickel.","I+L+T"
3,10,"        &=laughs.","NA"
3,10,"        that's pretty funny.","I"
3,10,"        let's see, ⌊HM⌋.","NA"
3,10,"        and, only the inside &=points:picture.","P"
3,10,"        well only the outside has crust.","P"
3,10,"        but not the ⌊inside⌋.","P"
3,10,"        um a cookie.","L"
3,10,"        and um, cookies are sometimes crunchy.","L+P"
3,10,"        they're sometimes um, um ⌊chewy⌋.","P"
3,10,"        um there's lots of different kinds like there's, chocolate chip and molasses.","F+T"
3,10,"        plain.","T"
3,10,"        HM.","NA"
3,10,"        xxx.","NA"
3,10,"        okay.","NA"
3,10,"        a banana.","L"
3,10,"        they also have you can call it like, a peel.","P"
3,10,"        and, if you want, you if you don't want to get your hands dirty.","F"
3,10,"        then, you can pull down the um peel.","F"
3,10,"        and then pull down to the rest of the peel ⌈and eat the banana⌉.","F+L"
3,10,"        or if you want you can just pull the, whole peel off.","F"
3,10,"        let's see &=clicks:tongue.","NA"
3,10,"        a painter.","L"
3,10,"        and let's see.","NA"
3,10,"        she is painting.","P"
3,10,"        um, right now she's painting a tree.","P"
3,10,"        she's painting on a easel.","P"
3,10,"        and a piece of paper.","P"
3,10,"        and, she's painting with, paint.","P"
3,10,"        um, let's see.","NA"
3,10,"        a duck.","L"
3,10,"        let's see.","NA"
3,10,"        ducks um have, they call it, webbed feet?","L+P"
3,10,"        and a beak.","P"
3,10,"        they all ducks sound different some like just like birds.","L+F+T"
3,10,"        ⌊yeah⌋.","NA"
3,10,"        and some birds don't even say anything.","T+F"
3,10,"        what else?","NA"
3,10,"        um ducks have feathers like birds.","L+P+T"
3,10,"        duck ducks, um, swim.","L+F"
3,10,"        just in like lakes or ponds.","F"
3,10,"        this +...","NA"
3,10,"        is a picture of a baby laying in like a on a blanket or in its crib on a ⌊blanket⌋.","L+P"
3,10,"        with three um dolls.","P"
3,10,"        and, babies like, to kick.","L+F"
3,10,"        um looks like this baby's getting ready to kick.","L+ P"
3,10,"        um, nope.","NA"
3,10,"        a ladybug.","L"
3,10,"        and it is red.","P"
3,10,"        and it has black spots.","P"
3,10,"        um let's see &=whispers.","NA"
3,10,"        what else &=whispers?","NA"
3,10,"        huh, I can't think of anything else.","I"
3,10,"        this is a carrot.","L"
3,10,"        and you can either buy carrots or you can grow carrots.","F+L"
3,10,"        in your garden if you have one &=giggles.","F"
3,10,"        and carrots need to be in the (re)refrigerator.","L+F"
3,10,"        until you wanna eat ⌊them⌋.","F"
3,10,"        and carrots, are a very good vegetable for you.","L+I+T"
3,10,"        and, um, let's see.","NA"
3,10,"        let's see &=whispers.","NA"
3,10,"        HM, or if you want your carrots to be, really cold ⌈when you take them out you can put them in the freezer⌉.","L+F"
3,10,"        this is a pig.","L"
3,10,"        pigs are pink.","L+P"
3,10,"        they they um, they have a curly tail.","P"
3,10,"        and let's see.","NA"
3,10,"        what else?","NA"
3,10,"        they can, they say oink.","F"
3,10,"        and let's see.","NA"
3,10,"        HM, huh.","NA"
3,10,"        can't think of anything else.","I"
3,10,"        this is a picture of someone at the hospital or a doctor.","P+L"
3,10,"        um, the I think she's at the doctor cause it looks like this is the a doctor.","P+L"
3,10,"        and the doctor is I think asking her some questions.","L+P"
3,10,"        um, looks like right now she's talking.","P"
3,10,"        um, and she's laying in a bed.","P"
3,10,"        that's ⌊it⌋ &=whispers.","NA"
3,10,"        this is a pirate.","L"
3,10,"        um, they, only travel on ships.","F"
3,10,"        and they wear, patches on only one eye.","P"
3,10,"        and, um let's see.","NA"
3,10,"        they wear a belt.","P"
3,10,"        they wear boots.","P"
3,10,"        um, HM, can't think of anything else.","NA"
3,10,"        a chunk of cheese and +...","P+L"
3,10,"        mice like it.","F"
3,10,"        um it's very good food.","I"
3,10,"        and um, um, any kind of cheese is good food.","T+L+I+F"
3,10,"        HM, it is yellow.","P"
3,10,"        and it is shaped, &=whispers let's see, HM like a square.","P"
3,10,"        um a puppy.","L"
3,10,"        and it says woof woof.","F"
3,10,"        and a puppy, um it take a little while for puppies to be able to walk.","L+F"
3,10,"        um and puppies have paws.","L+P"
3,10,"        they um, four.","P"
3,10,"        um all of them or [?] feet I know.","P"
3,10,"        um there's two in the front but +...","P"
3,10,"        the two in the front are still feet.","P"
3,10,"        this is a turtle.","L"
3,10,"        turtles have shells.","L+P"
3,10,"        some turtles can't swallow if they're not in water.","L+F"
3,10,"        and if the turtles are scared they pull their head feet, arms and tail, ⌈into their shell⌉.","L+F"
3,10,"        and they also sleep ⌈in their shell⌉.","L+F"
3,10,"        um let's see.","NA"
3,10,"        they also go in water.","F"
3,10,"        huh, can't think of anything else.","I"
4,22," bread.","L"
4,22," um bread um you it's chewy.","L+P"
4,22," I don't know.","NA"
4,22," org this is bread.","L"
4,22," cookie.","L"
4,22," um a cookie goes crunch crunch.","L+P"
4,22," it breaks easily.","F"
4,22," a bear.","L"
4,22," um it's a baby.","P"
4,22," it's just standing there.","P"
4,22," cheese.","L"
4,22," it has spots.","P"
4,22," cheddar cheese.","L+T"
4,22," a pig.","L"
4,22," they showed this um last night on food ⌊network⌋.","I+F"
4,22," about pigs.","L"
4,22," you can make um a ceramic um, cooker.","I"
4,22," you just have to do two it's um actually a barbecue that's ceramic.","I"
4,22," you make it have you take it far apart.","I"
4,22," you put something that makes heat in then you put um the pot in then you put the rack you put another fire pot on and then you put a thermometer.","I"
4,22," a doctor.","L"
4,22," um she operates.","F"
4,22," she helps people.","F"
4,22," an artist.","L"
4,22," she paints.","P"
4,22," and she always looks at what she's doing.","P"
4,22," a duck.","L"
4,22," ducks have these feet to help them walk.","L+P+F"
4,22," and and something in Eqypt there are ducks in this restaurant called xxx and I throw bread to the ⌊ducks⌋.","I+L+F"
4,22," a baby.","L"
4,22," he looks just like my ⌈bother⌉, when he was tiny xxx.","I+T+P"
4,22," a ladybug.","L"
4,22," it has legs to help it crawl.","P+F"
4,22," this is a ladybug.","L"
4,22," um this is a bat to hit it when it comes towards him.","F"
4,22," look at this.","NA"
4,22," it's a banana.","L"
4,22," you peel it off of the peel and you eat down down down down till the whole banana is gone.","F+L"
4,22," um you, if you want it cut up for your baby you go cut cut cut cut.","F"
4,22," a pirate with treasure.","L"
4,22," I don't I don't know why pirates always have these patches on their eyes.","I+L+F"
4,22," how come?","NA"
4,22," I'm not sure either.","NA"
4,22," a carrot.","L"
4,22," this is my favorite vegetable.","I+T"
4,22," you eat from here and you go all the way up till this.","F"
4,22," and you cut that off and you eat the orange.","F"
4,22," org this is a carrot.","L"
4,22," a turtle.","L"
4,22," it has claws.","P"
4,22," there's a big tortoise that walks on land.","L+P+F"
4,22," it's called Franklin.","I"
4,22," it's a huge tortoise.","L+P"
4,22," it's almost as big as that whole couch.","P+T"
4,22," org this is a turtle.","L"
5,24,"        a doctor.","L"
5,24,"        they help people who are sick or hurt.","F"
5,24,"        mm-HM [= yes].","NA"
5,24,"        org you don't, I don't know.","I"
5,24,"        xxx help you.","NA"
5,24,"        a doctor helps people.","L+F"
5,24,"        I'm sick.","I"
5,24,"        a carrot.","L"
5,24,"        you eat it.","F"
5,24,"        it's orange.","P"
5,24,"        and you pick the stem off.","F+P"
5,24,"        eat it &=makes:Zorg_eat_carrot.","F"
5,24,"        it's gonna eat it.","F"
5,24,"        a baseball player.","L"
5,24,"        some have bats and some have gloves.","P"
5,24,"        when the ball comes to you ya hit it.","F"
5,24,"        it's much of a puppy.","L"
5,24,"        first there's a mama puppy and then she has her babies.","I+L+F"
5,24,"        um, Zorg it's a puppy.","L"
5,24,"        you pet him.","F"
5,24,"        a turtle.","L"
5,24,"        he's really slow.","P"
5,24,"        he has a shell and no animal can eat its shell.","P+T+F"
5,24,"                ⌊cookie⌋.","L"
5,24,"        you eat it for dessert.","F+T"
5,24,"        mm-HM [= yes].","NA"
5,24,"        you eat it Zorg.","F"
5,24,"        a painter.","L"
5,24,"        you paint it.","P"
5,24,"        and then you get some paint and then you paint it.","F+P"
5,24,"        yep.","NA"
5,24,"        first they get a paintbrush put it in paint and then paint pictures that you want to paint.","F+P"
5,24,"        banana.","L"
5,24,"        you eat it and, you, hold the peel.","F+P"
5,24,"        yes.","NA"
5,24,"        you don't eat the peel.","F+P"
5,24,"        look there's a ladybug right here.","L"
5,24,"        a ladybug.","L"
5,24,"        it's a bug.","T"
5,24,"        she's red and has black polka dots.","P+I"
5,24,"        mm-HM [= yes].","NA"
5,24,"        you don't eat bugs.","F+T"
5,24,"        a duck.","L"
5,24,"        he swims in water and, that's it.","F+I"
5,24,"        he has she has baby ducklings.","F"
5,24,"        mm-HM [= yes].","NA"
5,24,"        it's a duck.","L"
5,24,"        it's a duck.","L"
5,24,"        oh a pirate.","L"
5,24,"        oh the pirate.","L"
5,24,"        he rides on a ship.","F"
5,24,"        he needs gold.","F"
5,24,"        and has a parrot.","P"
5,24,"        yes.","NA"
5,24,"        org that's a treasure chest and those are pirates.","L"
5,24,"        baby.","L"
5,24,"        he cannot do anything but lay there and cry &=burps.","F+P"
5,24,"        excuse me.","NA"
5,24,"        org it's a baby.","L"
5,24,"        you don't eat it.","F"
5,24,"        it's a person.","T"
5,24,"        yuck people stinks.","T+I"
5,24,"        a pig.","L"
5,24,"        he likes to roll in the mud.","F"
5,24,"        and it's pink.","P"
5,24,"        um, I don't know.","I"
5,24,"        and he snorts &=makes:snorting_noise.","P"
5,24,"        oink oink.","P"
5,24,"        piggy.","L"
5,24,"        it's an animal.","T"
5,24,"        you don't eat it.","I+F"
5,24,"        he likes to eat hay.","F"
5,24,"        cheese.","L"
5,24,"        mice eat it, for a treat.","F"
5,24,"        yes.","NA"
5,24,"        you eat it.","F"
5,24,"        bread.","L"
5,24,"        eat it you can put toast on it.","F+T"
5,24,"        it's French toast.","T"
5,24,"        you eat it and you use it for your eggs [= book closed].","F"
5,24,"        &=shakes:head_no.","NA"
6,29," um, cereal.","L"
6,29," last night um um I went to my school and I, Firstname wanted those (ex)except I had different ones so.","I"
6,29," he wanted uh, look he wanted to have some but instead of having those ones um he wanted uh some the ones my other friend was having.","I"
6,29," mm, then um, Firstname like and then I look down and say hey who stole my cereal xxx.","I+L"
6,29," hey Firstname did you eat my cereal?","I+L+F"
6,29," yes.","NA"
6,29," and he said he ate it.","I+F"
6,29," um, a lobster.","L"
6,29," um, every time my mommy go out in the big part where um a lot of stuff are um I always like to look at the crabs but then I can't see my mom and I try to find but I didn't see her.","I+T"
6,29," but last time um, my teacher um, he um wrote a book and then, and then um, uh, and then uh, and then uh, and then we sawed a lobster and then we saw a swordfish and we saw a shark and <a lot> [?] all the animals we're ever going to see.","I+L+T"
6,29," mm, a a plane guy.","L"
6,29," and then uh, last night when I was um a baby I went on one to Florida.","I"
6,29," and then I fell asleep.","I"
6,29," and then when I woke up we were there and mommy was just carrying me.","I"
6,29," mm, and then um, and then we land and it make a big sound and I like woke up and then Mom pick me up and then that's when I woke up.","I"
6,29," she was holding me.","I"
6,29," a teacher.","L"
6,29," and um, last night I went to my new school I'm going to go to when I get this many &=holds:up_five_fingers (be)cause I'm four and I'm almost that many &=holds:up_five_fingers.","I"
6,29," and, and, and last night, I went to but that was a long time ago and then we when we got home I wanted to play my Star_Wars game more.","I"
6,29," and then uh, when I was driving um, my schools like really really close but I can still walk there but my friend Firstname he he just got a new house so he can't walk there now.","I"
6,29," (ex)except he's all done with school but I'm still done.","I"
6,29," now I'm done with school.","I"
6,29," popcorn.","L"
6,29," last night um I watched Nemo but I don't really like to watch Nemo but I just have to.","I"
6,29," but last time I turned it off (be)cause I didn't want my dad putting it on but then xxx and uh mommy's bedroom (be)cause I want to watch it.","I"
6,29," and then last night um my friend Firstname uh her ate popcorn but uh, mm.","I+L"
6,29," mm, then her got like with just one seed in it but I just had like seven, ⌈seeds in there⌉.","I+P"
6,29," and I don't really like that.","I"
6,29," mm no.","NA"
6,29," (be)cause I didn't want to.","NA"
6,29," um, last night uh, I my dad and mom um I mean my daddy and he went with um his friend to there to a football and (be)cause I didn't go I stayed home with my mom.","I"
6,29," and then um, then uh, then um I played my Star_Wars game for a little bit.","I"
6,29," and then I like paused it and I played a little bit.","I"
6,29," and then like later [?] I climbed up my furniture but my mom didn't even care (be)cause her didn't know.","I"
6,29," but just didn't want me to climb on the table furniture.","I"
6,29," that's all but.","I"
6,29," that's okay if I climb on the furniture you sit on or a bed.","NA"
6,29," a witch.","L"
6,29," um, last night um, um, last night um we watched a funny show and then was just something [?] with a witch on.","I+L"
6,29," and then uh, and then uh, and then um, and then uh, and then, and then a person walked and he walked into the witches house because he didn't even know that was the witch house.","I+L"
6,29," and then, I watched one and then her opened up the door and then her went in the kitchen and then um uh, and then uh, and then uh, and then and then the the guys no hair [?] came and he and then the polar bear like scared the guys [?] and hit him.","I"
6,29," and then we watched another part and the other part's when those ones.","I"
6,29," cake.","L"
6,29," last time my mamma had a birthday um but I was like, um I was like the other day but and then like my mommy um her um, uh, her um.","I+F"
6,29," her had stuff in it but I didn't like.","I+F"
6,29," I just ate the frosting of it and then I got another that had frosting on and I just ate the frosting off of it.","I+P+F"
6,29," (be)cause I just wanted to.","I"
6,29," and then um, and then um we saved some for my daddy.","I"
6,29," a horse.","L"
6,29," last night um, my animal went around looking for a horse but it didn't, see it.","I+L"
6,29," and then um, and then, and then, then last night um, I um I rode a pony when I was three when I was two I mean and then um.","I+L"
6,29," I don't remember that now but.","I+L"
6,29," that was a long time ago and I don't remember it.","I+L"
6,29," mm, a orange.","L"
6,29," last night I had a orange when I was standing on my chair but I didn't break it.","I+L"
6,29," um, then I when I bit xxx but then I took it out.","I+F"
6,29," mm-HM [= yes].","NA"
6,29," yeah.","NA"
6,29," a crocodile.","L"
6,29," last night my grandpa shot a crocodile.","I+L"
6,29," and then my and then Grandpa had crocodile meat but I don't really eat cause I don't really like to eat crocodile.","I+L+F"
6,29," and then um, last time, we went to um and then my mom when her was um three um, um her was fishing and then her caught something and said I think I caught a big fish.","I"
6,29," and then what it was was just a, boot but then a was [?] crocodile came out and then her xxx pull right in the water but then her grandpa got it.","I+L+F"
6,29," out of the water.","I+F"
6,29," fishing pole [?] xxx.","NA"
6,29," broccoli.","L"
6,29," last time I ate broccoli (ex)except I didn't really feel good so I just went to bed.","I+L+F"
6,29," and, then, um uh, and then uh, and then um uh, last night I ate some but then I got full.","I+F"
6,29," um a elephant.","L"
6,29," last night um when I went to the zoo I saw an elephant but then um, then last night um, we went to the zoo but there was no elephants there.","I+L+F"
6,29," but last time um, we um, went to one and um, and then um, then um we saw it but I was but and then there was one where baby xxx [= animal name] is.","I"
6,29," mm, and then uh, and then, again last night um I saw a zookeeper riding on it.","I+F"
6,29," and last time baby xxx [= animal name] s being funny (be)cause then her got her trunk like on on a pole and then hers like was kinda like hers like pulling the pole right off.","I+P+F"
6,29," a penguin.","L"
6,29," last night um I went down in the penguin but it was really dark in there but that's where you can look in windows where the penguins were swimming [?] in the water.","I+L+F"
6,29," and then uh, and then uh, last night, um, I um, saw one and last night one almost flied right out of it.","I"
6,29," they didn't know it was glass and banged his head.","I+F"
6,29," a clown.","L"
6,29," last night um when we went to a play (be)cause Firstname um there was a clown and I was a little scared of it.","I+L"
6,29," I just ran and hide.","I"
6,29," I wasn't really scared of all of them just some of (the)em.","I"
6,29," and then um, and then uh, then last time uh, um, I saw one but he had candy and he gave some to me and I was even scared of that one.","I"
7,34," bread.","L"
7,34," um it's used for eating.","F"
7,34," my mom use a lot of like these xxx bread at home.","I+L+F"
7,34," because the doctor told em [?] to eat um those.","F+I"
7,34," no.","NA"
7,34," a cheese.","L"
7,34," kind of I like cheese plain.","I+L"
7,34," but some times I eat them with bread.","I+F"
7,34," they taste <really ⌊good> [?]⌋.","I"
7,34," sometimes you eat them regular.","F"
7,34," don't [?].","NA"
7,34," what?","NA"
7,34," what?","NA"
7,34," &=shakes:head_no.","NA"
7,34," I think I know a lot about pigs.","I+L"
7,34," I think that I know a [?] lot lot about the other things.","I"
7,34," &=nods:head_yes.","NA"
7,34," um a basket um baseball man.","L"
7,34," a carrot.","L"
7,34," mm-HM [= yes].","NA"
7,34," they play basketball a lot.","F"
7,34," all the people came to watch them.","F"
7,34," mm-HM [= yes].","NA"
7,34," I think that's it I say about them.","I"
7,34," a carrot.","L"
7,34," they're um they have orange lines.","P"
7,34," that's where you bite in them.","F"
7,34," I think.","I"
7,34," and they're for eating.","F"
7,34," I think, that's it I know about carrots.","I"
7,34," no.","NA"
7,34," banana.","L"
7,34," my my sister actually eats some of the skin.","I+F"
7,34," it's um, good.","I"
7,34," a duck.","L"
7,34," um, um, a duck is likes to swim in the water.","L+F"
7,34," they like to xxx.","F"
7,34," when [?] they get up they xxx kinda.","F"
7,34," all kinda bird can fly.","T+F"
7,34," ducks can fly.","F"
7,34," a pig.","L"
7,34," I know lots about this.","I"
7,34," um pigs used to live in mud on a farm.","L+F"
7,34," and um they they they say oink.","P"
7,34," um um HM HM HM.","NA"
7,34," they have four legs.","P"
7,34," and I think that's all I have [?] to tell about them.","I"
7,34," a doctor.","L"
7,34," when I grow up I'm gonna be like that.","I"
7,34," when people get sick they take care of (the)em.","F"
7,34," um mm I think that's it to tell about them.","I"
7,34," &=shakes:head_no.","NA"
7,34," a painter.","L"
7,34," they paint a lot.","F"
7,34," um, HM I think that's it tell about them.","I"
7,34," a cookie.","L"
7,34," a cookie is made for eating.","F+L"
7,34," and um I think that's it.","I"
7,34," it it has little crumbs.","P"
7,34," and I think that's it.","NA"
7,34," a baby.","L"
7,34," um babies could um.","L"
7,34," I think there's nothing about babies.","I+L"
7,34," HM.","NA"
7,34," babies um like to play with toys a lot.","F+L"
7,34," &=shakes:head_no.","NA"
7,34," a dog.","L"
7,34," dog likes to play with bones.","L+F"
7,34," they like to eat bone &=sighs.","F"
7,34," I think that's it, all I can tell about them.","I"
7,34," mm I think that's it.","NA"
7,34," HM HM.","NA"
7,34," I think that's it I could tell.","NA"
7,34," pirate man having a um a parrot.","L+P"
7,34," and then he has golden treasure over here.","P"
7,34," and um I think that's it.","I"
7,34," mm he has a parrot on <his head> [?].","P"
7,34," kind of treasure.","P"
7,34," coins.","P"
7,34," treasure box.","P"
7,34," a necklace I think.","P"
7,34," <all the things> [?].","NA"
7,34," I think that's it.","NA"
7,34," a turtle.","L"
7,34," has four legs.","F"
7,34," you can't even see this one.","P"
7,34," and it's here.","P"
7,34," this is his shell [= indicating on page].","P"
7,34," and that's it.","I"
7,34," mm his tail has sharp xxx.","P"
7,34," and I think &=turns:page.","NA"
7,34," ladybug.","L"
7,34," they have big black spots.","P"
7,34," four legs.","P"
7,34," um um this red stuff.","P"
7,34," they could fly.","F"
7,34," and um this black white and black and all that stuff.","P"
7,34," and I think that's it &=turns:page.","I"
7,34," mm I think that's it I could tell.","NA"
7,34," I think that's it that's in my mind.","NA"
7,34," no.","NA"
8,30,"        a cake.","L"
8,30,"        what?","NA"
8,30,"        you eat it.","F"
8,30,"        and it's a chocolate cake.","T"
8,30,"        it's a chocolate one.","T"
8,30,"        it's a chocolate one.","NA"
8,30,"        broccoli.","L"
8,30,"        you eat it.","F"
8,30,"        I don't, know anything else about it.","I"
8,30,"        a horse.","L"
8,30,"        it has a tail.","P"
8,30,"        you ride it.","F"
8,30,"        it has legs.","P"
8,30,"        that's all I know about it.","I"
8,30,"        I don't know.","NA"
8,30,"        a hockey player.","L"
8,30,"        I don't know anything else about it.","I"
8,30,"        it has legs.","P"
8,30,"        it has arms.","P"
8,30,"        a penguin.","L"
8,30,"        it doesn't have any legs.","P"
8,30,"        it has arms.","P"
8,30,"        it has a nose.","P"
8,30,"        it has eyes.","P"
8,30,"        it has a head.","P"
