Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7
789514,00:13:09.514,m,here does she want a bite of food?,2,bite,food,,,,1,she,,,,,,
791656,00:13:11.656,m,do you want to feed her with a fork?,1,fork,,,,,2,you,her,,,,,
793866,00:13:13.866,m,oh that's so nice,0,,,,,,1,that,,,,,,
795056,00:13:15.56,m,can you feed her?,0,,,,,,2,you,her,,,,,
798511,00:13:18.511,m,oh you're going to feed yourself,0,,,,,,1,you,,,,,,
799967,00:13:19.967,m,well a bite for you a bite for her,2,bite,bite,,,,2,you,her,,,,,
802275,00:13:22.275,m,yup oh that's so nice,0,,,,,,1,that,,,,,,
803820,00:13:23.820,m,you're so good at sharing thank you,0,,,,,,1,you,,,,,,
807292,00:13:27.292,m,oh you want to show her your train?,1,train,,,,,3,you,her,your,,,,
810798,00:13:30.798,m,is it time for her to go to sleep?,1,time,,,,,2,it,her,,,,,
812192,00:13:32.192,m,should we put her to sleep?,0,,,,,,2,we,her,,,,,
813707,00:13:33.707,m,we'll put her over here,0,,,,,,2,we,her,,,,,
814810,00:13:34.810,m,she'll take a nap,1,nap,,,,,1,she,,,,,,
832286,00:13:52.286,m,vroom vroom vroom,0,,,,,,0,,,,,,,
853366,00:14:13.366,m,you turn around,0,,,,,,0,,,,,,,
888543,00:14:48.543,m,can you show me who is that?,0,,,,,,3,you,me,that,,,,
891094,00:14:51.94,m,what animal is that?,1,animal,,,,,1,that,,,,,,
892228,00:14:52.228,m,can you show me?,0,,,,,,2,you,me,,,,,
894472,00:14:54.472,m,is it your elephant?,1,elephant,,,,,2,it,your,,,,,
911642,00:15:11.642,m,oh that's where your other train is?,1,train,,,,,2,that,your,,,,,
914396,00:15:14.396,m,William,1,william,,,,,0,,,,,,,
916640,00:15:16.640,m,look what I found?,0,,,,,,1,i,,,,,,
917796,00:15:17.796,m,hey,0,,,,,,0,,,,,,,
919294,00:15:19.294,m,here's your other train,1,train,,,,,1,your,,,,,,
920822,00:15:20.822,m,you want that one?,1,one,,,,,2,you,that,,,,,
922896,00:15:22.896,m,nice nice,0,,,,,,0,,,,,,,
928744,00:15:28.744,m,oh nice,0,,,,,,0,,,,,,,
1016056,00:16:56.56,m,hey William what's this?,1,william,,,,,1,this,,,,,,
1017722,00:16:57.722,m,is this your sponge we were looking for for your kitchen?,2,sponge,kitchen,,,,4,this,your,we,your,,,
1024182,00:17:04.182,m,oh you redoing your tracks?,1,tracks,,,,,1,you,your,,,,,
1030744,00:17:10.744,m,got it?,0,,,,,,1,it,,,,,,
1031832,00:17:11.832,m,oh good job,0,,,,,,0,,,,,,,
1032954,00:17:12.954,m,very nice,0,,,,,,0,,,,,,,
1038503,00:17:18.503,m,yeah that one's kind of hard,1,one,,,,,1,that,,,,,,
1039924,00:17:19.924,m,do you want some help?,0,,,,,,1,you,,,,,,
1043936,00:17:23.936,m,okay,0,,,,,,0,,,,,,,
1045016,00:17:25.16,m,so we go to build this part up,1,part,,,,,2,we,this,,,,,
1046622,00:17:26.622,m,actually you know what let's do this,0,,,,,,2,you,this,,,,,
1048526,00:17:28.526,m,do it the right way,0,,,,,,1,it,,,,,,
1049682,00:17:29.682,m,okay yup,0,,,,,,0,,,,,,,
1051693,00:17:31.693,m,oops this way,1,way,,,,,1,this,,,,,,
1052776,00:17:32.776,m,can you put this one up here?,1,one,,,,,2,you,this,,,,,
1055496,00:17:35.496,m,yeah,0,,,,,,0,,,,,,,
1056822,00:17:36.822,m,just like that,0,,,,,,1,that,,,,,,
1057944,00:17:37.944,m,good job,0,,,,,,0,,,,,,,
1058692,00:17:38.692,m,good job,0,,,,,,0,,,,,,,
1060902,00:17:40.902,m,okay,0,,,,,,0,,,,,,,
1061896,00:17:41.896,m,what about this one?,1,one,,,,,1,this,,,,,,
1062432,00:17:42.432,m,this one broke,1,one,,,,,1,this,,,,,,
1062908,00:17:42.908,m,we got to fix it,0,,,,,,2,we,it,,,,,
1079126,00:17:59.126,m,uhoh it's broken over there,0,,,,,,1,it,,,,,,
1080248,00:18:00.248,m,can you fix that one?,1,one,,,,,2,you,that,,,,,
1082041,00:18:02.41,m,can you fix it?,0,,,,,,2,you,it,,,,,
1089522,00:18:09.522,m,so close yeah good job,0,,,,,,0,,,,,,,
1092895,00:18:12.895,m,good job buddy,1,buddy,,,,,0,,,,,,,
1111392,00:18:31.392,m,choo choo choo choo,0,,,,,,0,,,,,,,
1119722,00:18:39.722,m,did you get it?,0,,,,,,2,you,it,,,,,
1213018,00:20:13.18,m,do you want to draw?,0,,,,,,1,you,,,,,,
1216860,00:20:16.860,m,do you want to sit at your table and draw?,1,table,,,,,2,you,your,,,,,
1221008,00:20:21.8,m,here let's go sit at your table and draw,1,table,,,,,1,your,,,,,,
1224170,00:20:24.170,m,come here,0,,,,,,0,,,,,,,
1225224,00:20:25.224,m,we go sit down?,0,,,,,,1,we,,,,,,
1227249,00:20:27.249,m,want to sit at your table?,1,table,,,,,1,your,,,,,,
1229386,00:20:29.386,m,oh good job okay,0,,,,,,0,,,,,,,
1232681,00:20:32.681,m,can you open?,0,,,,,,1,you,,,,,,
1235696,00:20:35.696,m,okay,0,,,,,,0,,,,,,,
1246508,00:20:46.508,m,is the water coming out?,1,water,,,,,0,,,,,,,
1247494,00:20:47.494,m,look,0,,,,,,0,,,,,,,
1251302,00:20:51.302,m,it's kind of dry huh,0,,,,,,1,it,,,,,,
1255883,00:20:55.883,m,you get it working?,0,,,,,,2,you,it,,,,,
1257873,00:20:57.873,m,here mama help?,1,mama,,,,,0,,,,,,,
1259258,00:20:59.258,m,one second mama fix it,2,second,mama,,,,1,it,,,,,,
1263032,00:21:03.32,m,there we go,0,,,,,,1,we,,,,,,
1275544,00:21:15.544,m,come here Mills,1,mills,,,,,0,,,,,,,
1281766,00:21:21.766,m,what are you drawing?,0,,,,,,1,you,,,,,,
1292646,00:21:32.646,m,oh you're so girl,1,girl,,,,,1,you,,,,,,
1315562,00:21:55.562,m,oh my Mills,1,mills,,,,,1,my,,,,,,
1318747,00:21:58.747,m,what's that?,0,,,,,,1,that,,,,,,
1319688,00:21:59.688,m,what are you pointing at?,0,,,,,,1,you,,,,,,
1320288,00:22:00.288,m,what is it?,0,,,,,,1,it,,,,,,
1320900,00:22:00.900,m,oh is it the frog?,1,frog,,,,,1,it,,,,,,
1322539,00:22:02.539,m,is that a purple frog?,1,frog,,,,,1,that,,,,,,
1323586,00:22:03.586,m,oh that's strawberry,1,strawberry,,,,,1,that,,,,,,
1324912,00:22:04.912,m,that's your favourite,1,favorite,,,,,2,that,your,,,,,
1325864,00:22:05.864,m,owl,1,owl,,,,,0,,,,,,,
1327462,00:22:07.462,m,that's an owl,1,owl,,,,,1,that,,,,,,
1329502,00:22:09.502,m,it says [sound effect],0,,,,,,1,it,,,,,,
1331508,00:22:11.508,m,what's that?,0,,,,,,1,that,,,,,,
1332800,00:22:12.800,m,is that a robot?,1,robot,,,,,1,that,,,,,,
1335214,00:22:15.214,m,robot,1,robot,,,,,0,,,,,,,
1340484,00:22:20.484,m,that's a spiral,1,spiral,,,,,1,that,,,,,,
1343374,00:22:23.374,m,hey look look what I've found,0,,,,,,1,i,,,,,,
1344496,00:22:24.496,m,look what's right here,0,,,,,,0,,,,,,,
1346334,00:22:26.334,m,that's a strawberry,1,strawberry,,,,,1,that,,,,,,
1347977,00:22:27.977,m,and that's a strawberry,1,strawberry,,,,,1,that,,,,,,
1350752,00:22:30.752,m,I don't know what that,0,,,,,,2,i,that,,,,,
1351636,00:22:31.636,m,what did you draw?,0,,,,,,1,you,,,,,,
1352588,00:22:32.588,m,did you draw a strawberry?,1,strawberry,,,,,1,you,,,,,,
1354356,00:22:34.356,m,frog,1,frog,,,,,0,,,,,,,
1355444,00:22:35.444,m,strawberry,1,strawberry,,,,,0,,,,,,,
1356124,00:22:36.124,m,strawberry,1,strawberry,,,,,0,,,,,,,
1358300,00:22:38.300,m,strawberry,1,strawberry,,,,,0,,,,,,,
1360068,00:22:40.68,m,strawberry,1,strawberry,,,,,0,,,,,,,
1361629,00:22:41.629,m,that's the stem,1,stem,,,,,1,that,,,,,,
1362686,00:22:42.686,m,that's the green part see?,1,part,,,,,1,that,,,,,,
1364420,00:22:44.420,m,green,1,green,,,,,0,,,,,,,
1365596,00:22:45.596,m,and green,1,green,,,,,0,,,,,,,
1367752,00:22:47.752,m,xxx,0,,,,,,0,,,,,,,
1369180,00:22:49.180,m,xxx,0,,,,,,0,,,,,,,
1374309,00:22:54.309,m,that's a piece of candy,2,piece,candy,,,,1,that,,,,,,
1376604,00:22:56.604,m,that's a piece of candy,2,piece,candy,,,,1,that,,,,,,
1378576,00:22:58.576,m,hmm,0,,,,,,0,,,,,,,
1379516,00:22:59.516,m,should we,0,,,,,,1,we,,,,,,
1381352,00:23:01.352,m,here,0,,,,,,0,,,,,,,
1382406,00:23:02.406,m,watch,0,,,,,,0,,,,,,,
1382882,00:23:02.882,m,should we do an outline?,1,outline,,,,,1,we,,,,,,
1385568,00:23:05.568,m,should we?,0,,,,,,1,we,,,,,,
1388152,00:23:08.152,m,[laugh],0,,,,,,0,,,,,,,
1388934,00:23:08.934,m,no,0,,,,,,0,,,,,,,
1391466,00:23:11.466,m,should we draw the outline of the monkey?,2,outline,monkey,,,,1,we,,,,,,
1393454,00:23:13.454,m,can you trace?,0,,,,,,1,you,,,,,,
1395428,00:23:15.428,m,I don't think the water is going to show up there,1,water,,,,,1,i,,,,,,
1396992,00:23:16.992,m,got to be on this part,1,part,,,,,1,this,,,,,,
1399338,00:23:19.338,m,there you go,0,,,,,,1,you,,,,,,
1402281,00:23:22.281,m,can you draw a strawberry?,1,strawberry,,,,,1,you,,,,,,
1405798,00:23:25.798,m,can you draw me a strawberry?,1,strawberry,,,,,2,you,me,,,,,
1432064,00:23:52.64,m,uhoh where is the strawberry?,1,strawberry,,,,,0,,,,,,,
1438336,00:23:58.336,m,[sound effect],0,,,,,,0,,,,,,,
1439764,00:23:59.764,m,[sound effect],0,,,,,,0,,,,,,,
1441022,00:24:01.22,m,[sound effect],0,,,,,,0,,,,,,,
1442848,00:24:02.848,m,[sound effct],0,,,,,,0,,,,,,,
1443572,00:24:03.572,m,[laugh],0,,,,,,0,,,,,,,
1446020,00:24:06.20,m,uhoh,0,,,,,,0,,,,,,,
1449692,00:24:09.692,m,can you sit on your bottom please?,1,bottom,,,,,2,you,your,,,,,
1453364,00:24:13.364,m,can you sit on your bottom?,1,bottom,,,,,2,you,your,,,,,
1454894,00:24:14.894,m,[sound effect],0,,,,,,0,,,,,,,
1461921,00:24:21.921,m,making dots,1,dots,,,,,0,,,,,,,
1469186,00:24:29.186,m,strawberry,1,strawberry,,,,,0,,,,,,,
1472716,00:24:32.716,m,William sit on your bottom please,2,william,bottom,,,,1,your,,,,,,
1472812,00:24:32.812,m,[laugh],0,,,,,,0,,,,,,,
1475525,00:24:35.525,m,William,1,william,,,,,0,,,,,,,
1477130,00:24:37.130,m,can you sit on your bottom please?,1,bottom,,,,,2,you,your,,,,,
1478524,00:24:38.524,m,or just stand,0,,,,,,0,,,,,,,
1481160,00:24:41.160,m,[imitate],0,,,,,,0,,,,,,,
1484508,00:24:44.508,m,it's all gone,0,,,,,,1,it,,,,,,
1486675,00:24:46.675,m,I ate it,0,,,,,,2,i,it,,,,,
1487704,00:24:47.704,m,it's all gone,0,,,,,,1,it,,,,,,
1489122,00:24:49.122,m,oh no,0,,,,,,0,,,,,,,
1492040,00:24:52.40,m,[laugh],0,,,,,,0,,,,,,,
1494677,00:24:54.677,m,[imitate],0,,,,,,0,,,,,,,
1496646,00:24:56.646,m,it's all gone,0,,,,,,1,it,,,,,,
1498584,00:24:58.584,m,where did it go?,0,,,,,,1,it,,,,,,
1500250,00:25:00.250,m,oh no,0,,,,,,0,,,,,,,
1503404,00:25:03.404,m,[laugh],0,,,,,,0,,,,,,,
1506053,00:25:06.53,m,[imitate],0,,,,,,0,,,,,,,
1510246,00:25:10.246,m,all gone,0,,,,,,0,,,,,,,
1515652,00:25:15.652,m,[laugh],0,,,,,,0,,,,,,,
1518695,00:25:18.695,m,you want to eat it?,0,,,,,,2,you,it,,,,,
1519975,00:25:19.975,m,[imitate],0,,,,,,0,,,,,,,
1521228,00:25:21.228,m,okay it's all gone,0,,,,,,1,it,,,,,,
1525036,00:25:25.36,m,oh no,0,,,,,,0,,,,,,,
1527348,00:25:27.348,m,how do you get it out?,0,,,,,,2,you,it,,,,,
1529549,00:25:29.549,m,how did you get it out?,0,,,,,,2,you,it,,,,,
1531836,00:25:31.836,m,is that in your belly?,1,belly,,,,,2,that,your,,,,,
1534999,00:25:34.999,m,[sound effect] I got it,0,,,,,,2,i,it,,,,,
1538330,00:25:38.330,m,[laugh],0,,,,,,0,,,,,,,
1543832,00:25:43.832,m,put it in your belly button,1,bellybutton,,,,,2,it,your,,,,,
1545442,00:25:45.442,m,you're going to hide it?,0,,,,,,2,you,it,,,,,
1546276,00:25:46.276,m,can you hide it under your shirt?,1,shirt,,,,,3,you,it,your,,,,
1547442,00:25:47.442,m,hide it,0,,,,,,1,it,,,,,,
1548990,00:25:48.990,m,can you hide it?,0,,,,,,2,you,it,,,,,
1549924,00:25:49.924,m,put it under there?,0,,,,,,1,it,,,,,,
1551828,00:25:51.828,m,put it down the front here,1,front,,,,,1,it,,,,,,
1552678,00:25:52.678,m,put it down here,0,,,,,,1,it,,,,,,
1554140,00:25:54.140,m,there you go,0,,,,,,1,you,,,,,,
1556063,00:25:56.63,m,all gone,0,,,,,,0,,,,,,,
1559308,00:25:59.308,m,how do you get it out?,0,,,,,,2,you,it,,,,,
